# ============================================================================
# FFO REPERTOIRE - Professional C4-based Opening Book (Full)
# ============================================================================
# File: 00_opening_ffo.txt
# Source: Fédération Française d'Othello – Répertoire d'ouvertures
#         https://www.ffothello.org/strategie/repertoire-douvertures/
#         Thanks to the volunteer editors and historians of FFO.
#
# Content: Full conversion from the FFO French repertoire (C4-based families and sub-variations)
# Format: NAME | MOVES | ADVANTAGE
#
# Legend (advantage after the listed sequence):
#   b   = Black slightly better (Noir)
#   b+  = Black better
#   b++ = Black clearly better
#   w   = White slightly better (Blanc)
#   w+  = White better
#   w++ = White clearly better
#   =   = Roughly equal / not specified
#
# Conventions:
# - Names standardized in English when widely used (Heath, Tanida, Diagonal, Ishii, Rose, Brightwell, etc.).
# - When no widely used English name exists, the FFO French label is retained, minimally anglicized.
# - MOVES are in short format without spaces; Black moves in UPPERCASE, White in lowercase.
# - This file preserves the repertoire structure and order as in the French source when possible.
# ============================================================================

Diagonal Opening | C4c3D3c5 | =
Rose Daunas Var.. Microb | C4e3F4c5D6f3E6c3D3e2B6f5B3b4A3 | =
Rose Flat | C4e3F4c5D6f3E6c3D3e2B5 | =
Rose Flat Tournante (rotating Flat) | C4e3F4c5D6f3E6c3D3e2B5f5B4 | =
Flat Tournante Ouverte (?) | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7F8 | =
Var. Japonaise | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7F8d7C7 | =
Réfutation Tamenori | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7F8d7C7a6 | =
Var. Kaneda | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7F8d7C7b3D2d8F1 | =
Var. Plébéenne | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7F8d7C7c8F7e8D2b6C6 | =
Var. De Tchéliabinsk | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7F8d7G4b6C6 | =
Tchéliabinsk Right Edge | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7F8d7G4b6C6a5 | =
Tchéliabinsk Diagonal Edge | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7F8d7G4b6C6a3 | =
Flat Tournante Fermée (?) | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7D2 | =
Tournante Fermée Var.. Ouverte | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7D2c7D7c8F1c6F8 | =
Tournante Fermée Var.. Fermée | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7D2c7D7c8F1c6F2 | =
Cygne | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7D2c7D7c6F8b6 | =
Semi-tamenori | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7D2c7D7c6F8a6A5b6C8 | =
Var.. Ouverte (par Interversion) | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7D2c7D7c6F8c8F1 | =
Johnson | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7D2c7F1c6F2e1D7b6 | =
Jotel | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7D2c7F1c6F2e1D1b6D7a5 | =
Feinder | C4e3F4c5D6f3E6c3D3e2B5f5B4f6C2e7D2c7F1c6F2e1D1b6D7c8 | =
Rose Murakami | C4e3F4c5D6f3E6c3D3e2B5f5B3 | =
Murakami Tournante | C4e3F4c5D6f3E6c3D3e2B5f5B3f6C2e7D2c7F1c6F2e1D1b6D7 | =
Murakami Bhagat | C4e3F4c5D6f3E6c3D3e2B5f5B3a3C2d1C1b4D2e1F1f2A5 | =
Murakami Var.. Occidentale | C4e3F4c5D6f3E6c3D3e2B5f5B3b4D2f6C2a6A3a4F2 | =
Murakami Var.. Japonaise | C4e3F4c5D6f3E6c3D3e2B5f5B3b4D2c1C2a3A4f6A2b6C6a6G5g6G4 | =
Rose Flat Transverse | C4e3F4c5D6f3E6c3D3e2B5f5G5 | =
Rose Amadeus | C4e3F4c5D6f3E6c3D3e2B5f5G5b6 | =
Amadeus Du Hâbleur | C4e3F4c5D6f3E6c3D3e2B5f5G5b6B4a5A7 | =
Amadeus Mercedes | C4e3F4c5D6f3E6c3D3e2B5f5G5b6B3b4 | =
Flat Transverse Principale | C4e3F4c5D6f3E6c3D3e2B5f5G5g6 | =
Var. Classic | C4e3F4c5D6f3E6c3D3e2B5f5G5g6G3f6 | =
Var. De L'arche | C4e3F4c5D6f3E6c3D3e2B5f5G5g6G3h6 | =
Var. Mercedes | C4e3F4c5D6f3E6c3D3e2B5f5G5g6G3g4 | =
Rose Stenvenson | C4e3F4c5D6f3E6c3D3e2B5f5G5d7 | =
Rose Bruyninckx | C4e3F4c5D6f3E6c3D3e2B5b6 | =
Bruyninckx Classic | C4e3F4c5D6f3E6c3D3e2B5b6B3c6B4a3C2c1D2f2F5a5 | =
Bruyninckx Mercedes | C4e3F4c5D6f3E6c3D3e2B5b6B3b4 | =
Bruyninckx Mercedes Nordic | C4e3F4c5D6f3E6c3D3e2B5b6B3b4D2 | =
Bruyninckx Mercedes Koala | C4e3F4c5D6f3E6c3D3e2B5b6B3b4A4 | =
Bruyninckx Arche | C4e3F4c5D6f3E6c3D3e2B5b6B3a6 | =
Bruyninckx Arche Var.. Ralle | C4e3F4c5D6f3E6c3D3e2B5b6B3a6D2 | =
Bruyninckx Arche Var.. Tortue | C4e3F4c5D6f3E6c3D3e2B5b6B3a6B4a3C2c6D2 | =
Bruyninckx D'encerclement | C4e3F4c5D6f3E6c3D3e2B5b6B4a5 | =
Greenberg Retardée | C4e3F4c5D6f3E6c3D3e2B5b6D2 | =
Shaman | C4e3F4c5D6f3C6 | =
Shaman Triangle | C4e3F4c5D6f3C6f6E6f5 | =
Shaman Triangle Transverse | C4e3F4c5D6f3C6f6E6f5G5 | =
Shaman Triangle Mur | C4e3F4c5D6f3C6f6E6f5G6 | =
Shaman Flat | C4e3F4c5D6f3C6b4 | =
Shaman Flat Old | C4e3F4c5D6f3C6b4D3c3E2g4 | =
Shaman Flat Moderne | C4e3F4c5D6f3C6b4D3c3E2e6 | =
Shaman Diagonal | C4e3F4c5D6f3C6b3 | =
Var. Vallund | C4e3F4c5D6f3C6b3C3d3E6 | =
Var. Jensen | C4e3F4c5D6f3C6b3D3c3E2g4D2 | =
Shaman Tau | C4e3F4c5D6f3C6e6F5 | =
Tau Don Quichotte | C4e3F4c5D6f3C6e6F5g5F6 | =
Tau Cerf | C4e3F4c5D6f3C6e6F5d7 | =
Bhagat | C4e3F4c5D6f3E2 | =
Bhagat Var.. Principale | C4e3F4c5D6f3E2d3C3e6 | =
Cheval | C4e3F4c5E6 | =
Cheval Central | C4e3F4c5E6f5 | =
Cheval Crochet | C4e3F4c5E6f5F6 | =
Crochet En Coin | C4e3F4c5E6f5F6f3D6 | =
Var. Tastet | C4e3F4c5E6f5F6f3D6g4 | =
Var. Pseudo-rose | C4e3F4c5E6f5F6f3D6c3 | =
Crochet Intérieur | C4e3F4c5E6f5F6f3D3g4 | =
Cheval Muller | C4e3F4c5E6f5D6 | =
Muller En Coins | C4e3F4c5E6f5D6d3F6c3 | =
Muller En Coins Décalée | C4e3F4c5E6f5D6d3C3b4F6b3 | =
Muller Fusée | C4e3F4c5E6f5D6d3C3b4F6d2 | =
Muller D'été Symétrique | C4e3F4c5E6f5D6f6D3f3 | =
Cheval Transversale | C4e3F4c5E6d6 | =
Cheval Roques | C4e3F4c5E6d6B5b4 | =
Var. Caspard | C4e3F4c5E6d6B5b4D3c3 | =
Var. Penloup Antisymétrique | C4e3F4c5E6d6B5b4D3f5 | =
Var. Argentine | C4e3F4c5E6d6B5b4D7f5C6 | =
Cheval Daunas | C4e3F4c5E6d6B5b6 | =
Var. Aberration Optique | C4e3F4c5E6d6B5b6D3f5 | =
Aberration Optique Right | C4e3F4c5E6d6B5b6D3f5D7 | =
Aberration Optique Diagonal | C4e3F4c5E6d6B5b6D3f5C7 | =
Var. Kyu Syu | C4e3F4c5E6d6B5b6D7c3D3 | =
Var. Aberration Optique (inter.) | C4e3F4c5E6d6B5b6D7f5D3 | =
Parker | C4e3F6e6F4 | =
Parker Rectangulaire | C4e3F6e6F4c5C6 | =
Parker Groupée | C4e3F6e6F4c5D6 | =
Tigre | C4e3F6e6F5 | =
Tigre Central | C4e3F6e6F5c5F4 | =
Grande Var. | C4e3F6e6F5c5F4g5 | =
Penloup-juhem | C4e3F6e6F5c5F4g5G6 | =
Var. Requiem | C4e3F6e6F5c5F4g5G6g4F3 | =
Var. Croix Du Sud | C4e3F6e6F5c5F4g5G6f3F7 | =
Défense Tastet | C4e3F6e6F5c5F4g5G6f7 | =
Équerre Var. Checkerboard | C4e3F6e6F5c5F4g5G6f7E2f2 | =
Équerre Var. Central | C4e3F6e6F5c5F4g5G6f7E2f3 | =
Var. Kaneda | C4e3F6e6F5c5F4g5G6d3D6 | =
Var. Andriani | C4e3F6e6F5c5F4g5G6d3F3g4D6d7 | =
Var. De 92 | C4e3F6e6F5c5F4g5G6d3F3g4D6f7 | =
Var. Ohyanagi | C4e3F6e6F5c5F4g5G6d3F3g4D6c7H5 | =
Var. Old | C4e3F6e6F5c5F4g5G6d3F3g4D6c7C2 | =
Var. Néo-tastet | C4e3F6e6F5c5F4g5G6d3F3g4D6c7H3e7 | =
Var. Classic | C4e3F6e6F5c5F4g5G6d3F3g4D6c7H3h4E2 | =
Var. De La Baltique | C4e3F6e6F5c5F4g5D6 | =
Var. Andersson | C4e3F6e6F5c5F4g5F3 | =
Var. Cali | C4e3F6e6F5c5F4g5F3d3H6 | =
Var. Classic | C4e3F6e6F5c5F4g5G4 | =
Var. D'interversion | C4e3F6e6F5c5F4g5G4d3C6f3 | =
Var. De Paris | C4e3F6e6F5c5F4g5G4f3D6c6G6d3G3 | =
Var. D'Athènes | C4e3F6e6F5c5F4g5G4f3C6 | =
Var. Murakami | C4e3F6e6F5c5F4g5G4f3C6d3D6b3H5 | =
Var. Taïshii | C4e3F6e6F5c5F4g5G4f3C6d3D6b3G3h4E2d2B4 | =
Var. Doyo-kaï | C4e3F6e6F5c5F4g5G4f3C6d3D6b3C3 | =
Doyo-kaï Central | C4e3F6e6F5c5F4g5G4f3C6d3D6b3C3b4E2b6D2 | =
Doyo-kaï Polonaise | C4e3F6e6F5c5F4g5G4f3C6d3D6b3C3b4E2b6G3 | =
Var. Japonaise | C4e3F6e6F5c5F4g5G4f3C6d3D6e7G3h4 | =
Var. Grosse Masse | C4e3F6e6F5c5F4g5G4f3C6h4D6f7H5g6H3g3E7h6H7d8E2 | =
Var. Plowman | C4e3F6e6F5c5F4g5G4f3C6c3D6b5D3b4E2d2G3 | =
Var. Extérieure | C4e3F6e6F5c5F4g6 | =
In My Country | C4e3F6e6F5c5F4g6E7 | =
À Plat | C4e3F6e6F5c5F4g6E7f3 | =
Var. Jensen | C4e3F6e6F5c5F4g6E7f3G3 | =
Var. Alien | C4e3F6e6F5c5F4g6E7f3G4 | =
Var. De Lyon | C4e3F6e6F5c5F4g6E7f3G5 | =
Geisha | C4e3F6e6F5c5F4g6E7d6 | =
Var. Ghirardato | C4e3F6e6F5c5F4g6E7d6G5 | =
Var. Pseudo-nicolet | C4e3F6e6F5c5F4g6E7d6F7 | =
Var. Tire-bouchon | C4e3F6e6F5c5F4g6E7g5D6 | =
Var. Décalée | C4e3F6e6F5c5F4g6D7 | =
Décalée À Plat | C4e3F6e6F5c5F4g6D7f3G5 | =
Geisha Décalée | C4e3F6e6F5c5F4g6D7d6 | =
Triangle | C4e3F6e6F5c5F4g6F7 | =
Nicolet | C4e3F6e6F5c5F4g6F7d6E7 | =
À Plat | C4e3F6e6F5c5F4g6F7d6E7f3G5g4 | =
Central | C4e3F6e6F5c5F4g6F7d6E7g5 | =
Tamenori | C4e3F6e6F5c5F4g6F7d3 | =
Var. De Stockholm | C4e3F6e6F5c5F4g6F7d3G5c6D6d7B5e7B6 | =
Tamenori Classic | C4e3F6e6F5c5F4g6F7d3F3 | =
Moorlin | C4e3F6e6F5c5F4g6F7d3F3g3G5c3 | =
Moorlin, Var. De Concrete | C4e3F6e6F5c5F4g6F7d3F3g3G5c3B6g4 | =
Moorlin, Var. Du Centre | C4e3F6e6F5c5F4g6F7d3F3g3G5c3F2g4 | =
Moorlin Retardée | C4e3F6e6F5c5F4g6F7d3G5c3F3g3 | =
Var. Anglaise | C4e3F6e6F5c5F4g6F7d3F3g5G4e7C2f2 | =
Var. De Londres | C4e3F6e6F5c5F4g6F7d3F3g5G4e7D6h3C3 | =
Var. Française | C4e3F6e6F5c5F4g6F7d3F3g5G4e7D6h3F8 | =
Coup Penloup | C4e3F6e6F5c5F4g6F7d3F3g5G4e7D6h3F8g3 | =
Coup Shaman | C4e3F6e6F5c5F4g6F7d3F3g5G4e7D6h3F8e2 | =
Var. Casse-tête | C4e3F6e6F5c5F4g6F7d3F3g5G4e7D6h3C6 | =
Var. De Sophia | C4e3F6e6F5c5F4g6F7d3F3g5G4e7D6h3F2 | =
Triangle Central | C4e3F6e6F5c5F4g6F7g5 | =
Var. Coccinelle | C4e3F6e6F5c5F4g6F7g5D6d3 | =
Var. Thor | C4e3F6e6F5c5F4g6F7g5D6d3F3 | =
Var. Classic | C4e3F6e6F5c5F4g6F7g5D6d3F3b5C3 | =
Var. Moderne | C4e3F6e6F5c5F4g6F7g5D6d3F3c3 | =
Triangle Central Classic | C4e3F6e6F5c5F4g6F7g5F3 | =
Tamenori Retardée | C4e3F6e6F5c5F4g6F7g5F3d3 | =
Var.. Penloup-caspard | C4e3F6e6F5c5F4g6F7g5F3d3G4 | =
Var.. Di Meglio | C4e3F6e6F5c5F4g6F7g5F3d3D6 | =
Var.. De Grosse Masse | C4e3F6e6F5c5F4g6F7g5F3e7H6 | =
Var.. De Varsovie | C4e3F6e6F5c5F4g6F7g5F3e7D6 | =
Caspard | C4e3F6e6F5c5F4g6F7g5F3e7D3g4H4 | =
Var.. Caspard Retardée | C4e3F6e6F5c5F4g6F7g5F3e7D3g4D6c6H4 | =
Var.. De 91 | C4e3F6e6F5c5F4g6F7g5F3e7D3g4D6c6B5 | =
Tigre Diagonal | C4e3F6e6F5c5C3 | =
Kung | C4e3F6e6F5c5C3g5 | =
Kung Flat | C4e3F6e6F5c5C3g5C6 | =
Kung Concrete | C4e3F6e6F5c5C3g5C6d3D6b4B3 | =
Kung Du Pion Isolé | C4e3F6e6F5c5C3g5C6d3D6b4G4 | =
Kung Diagonal | C4e3F6e6F5c5C3g5F7 | =
Kung Diagonal Var.. 33 | C4e3F6e6F5c5C3g5F7c6 | =
Kung Diagonal Var.. 42 | C4e3F6e6F5c5C3g5F7d7 | =
Tigre Diagonal Classic | C4e3F6e6F5c5C3b4 | =
Tigre Diagonal Groupée | C4e3F6e6F5c5C3b4D3 | =
Groupée Anglaise | C4e3F6e6F5c5C3b4D3f4 | =
Groupée Japonaise | C4e3F6e6F5c5C3b4D3c2 | =
Japonaise Douteuse | C4e3F6e6F5c5C3b4D3c2A4 | =
Japonaise Juhem-caspard | C4e3F6e6F5c5C3b4D3c2E2f4B6 | =
Japonaise Suekuni | C4e3F6e6F5c5C3b4D3c2D6f4E2 | =
Japonaise De La Roussette | C4e3F6e6F5c5C3b4D3c2B3f4 | =
Japonaise Corbeau | C4e3F6e6F5c5C3b4D3c2F2f4 | =
Opening Milanese | C4e3F6e6F5c5C3b4D3e2 | =
Var. Edge | C4e3F6e6F5c5C3b4D3e2D6f4C2d2D1 | =
Var. D'opposition | C4e3F6e6F5c5C3b4D3e2D6f4C6d2 | =
Var. Complexe | C4e3F6e6F5c5C3b4D3e2D6f4D2c6B5 | =
Var. De Privation | C4e3F6e6F5c5C3b4D3e2D6d2B6 | =
Var. Artificielle | C4e3F6e6F5c5C3b4D3e2D2f4C6 | =
Var. De Concrete | C4e3F6e6F5c5C3b4D3e2C2f4G3d6F3 | =
Brightwell Retardée | C4e3F6e6F5c5C3b4D6 | =
Tigrejapon 93 | C4e3F6e6F5c5C3b4D6c6B3 | =
Tau | C4e3F6e6F5c5C3b4D6c6B3c2 | =
Suite De Concrete | C4e3F6e6F5c5C3b4D6c6B3d7A4f4B5b6C7 | =
Popov | C4e3F6e6F5c5C3b4D6c6B5 | =
Popov Brisson | C4e3F6e6F5c5C3b4D6c6B5d7 | =
Popov Edge | C4e3F6e6F5c5C3b4D6c6B5a6 | =
Popov Le Saout | C4e3F6e6F5c5C3b4D6c6B5a6F2 | =
Popov Murakami | C4e3F6e6F5c5C3b4D6c6B5a6D3b6B3 | =
Popov Sharalle | C4e3F6e6F5c5C3b4D6c6B5a6F3b6A3 | =
Popov Murakami Retardée | C4e3F6e6F5c5C3b4D6c6B5a6B6c7D3 | =
Tigre Diagonal Holgersson | C4e3F6e6F5c5C3b4F3 | =
Tigre Diagonal Hashimoto | C4e3F6e6F5c5C3b4C6 | =
Tigre Diagonal Tom-pouce | C4e3F6e6F5c5C3b4B3d6D3f4A4 | =
Tigre Diagonal Moderne | C4e3F6e6F5c5C3c6 | =
Tigre Diagonal Checkerboard | C4e3F6e6F5c5C3c6B5 | =
Tigre Diagonal Ralle | C4e3F6e6F5c5C3c6B5b6F4 | =
Var. Du Bicorne | C4e3F6e6F5c5C3c6B5b6D3g6 | =
Popov (par Interversion) | C4e3F6e6F5c5C3c6B5b4D6 | =
Tigre Diagonal Française | C4e3F6e6F5c5C3c6D6g5 | =
Var. Classic | C4e3F6e6F5c5C3c6D6g5G4d3D2b4F4 | =
Var. Takizawa | C4e3F6e6F5c5C3c6D6g5G4d7D3d2F3 | =
Var. Inexplorée | C4e3F6e6F5c5C3c6D6g5G4d7D3d2C2 | =
Suite Française | C4e3F6e6F5c5C3c6D6g5G4d3D2b4F4 | =
Popov (par Interversion) | C4e3F6e6F5c5C3c6D6b4B5 | =
Japon 93 (par Interversion) | C4e3F6e6F5c5C3c6D6b4B3 | =
Tigre Scorpion | C4e3F6e6F5c5C3c6D3d2 | =
Scorpion Piau-puget | C4e3F6e6F5c5C3c6D3d2F3 | =
Scorpion Piau, Var.. De Concrete | C4e3F6e6F5c5C3c6D3d2F3b3C1 | =
Scorpion Piau, Var.. Central | C4e3F6e6F5c5C3c6D3d2F3b3B4 | =
Scorpion Classic | C4e3F6e6F5c5C3c6D3d2C2 | =
Scorpion Du Pion Isolé | C4e3F6e6F5c5C3c6D3d2C2f4G3b3 | =
Scorpion Du Luxembourg | C4e3F6e6F5c5C3c6D3d2C2f4G3b4 | =
Scorpion De Varsovie | C4e3F6e6F5c5C3c6D3d2C2f4G3g4 | =
Scorpion Des 2 Pions Isolés | C4e3F6e6F5c5C3c6D3d2C2f4G3g5 | =
Nouveau Scorpion | C4e3F6e6F5c5C3c6D3d2E2 | =
Scorpion Fausse Piau | C4e3F6e6F5c5C3c6D3d2E2b3C1 | =
Scorpion Jacpoth | C4e3F6e6F5c5C3c6D3d2E2b3E1 | =
Scorpion Wada | C4e3F6e6F5c5C3c6D3d2E2b3B4 | =
Scorpion Excentré | C4e3F6e6F5c5C3c6D3d2E2f4G3 | =
Scorpion Groupé | C4e3F6e6F5c5C3c6D3d2E2f4F3 | =
Scorpion Jacpoth Retardé | C4e3F6e6F5c5C3c6D3d2E2f4F3b3E1 | =
Scorpion Wada (par Interversion) | C4e3F6e6F5c5C3c6D3d2E2f4F3b3B4 | =
Tigre Compacte | C4e3F6e6F5c5D3 | =
Compacte En Coin | C4e3F6e6F5c5D3c3 | =
Var. De Grey | C4e3F6e6F5c5D3c3D2 | =
Var. Principale | C4e3F6e6F5c5D3c3D6 | =
Compacte À Plat | C4e3F6e6F5c5D3c3D6f4B5 | =
Compacte D'opposition | C4e3F6e6F5c5D3c3D6f4F3 | =
Var. Sakaguchi | C4e3F6e6F5c5D3c3D6f4F3g3F2g4E2d2C2 | =
Var. Française | C4e3F6e6F5c5D3c3D6f4F3g4 | =
Compacte Extérieure | C4e3F6e6F5c5D3g6 | =
Compacte Triangle | C4e3F6e6F5c5D3g6F7 | =
Var. De Varsovie | C4e3F6e6F5c5D3g6F7d6E7f4 | =
Var. Qvist | C4e3F6e6F5c5D3g6F7d6E7g5F4f3E2g3 | =
Compacte Extérieure Right | C4e3F6e6F5c5D3g6E7 | =
Var. Des Deux Diagonales | C4e3F6e6F5c5D3g6E7d6G5f4F7 | =
Var. Aldaron | C4e3F6e6F5c5D3g6E7f4 | =
Compacte Extérieure Diagonal | C4e3F6e6F5c5D3g6D7 | =
Var. Du Quadruplet | C4e3F6e6F5c5D3g6D7d6 | =
Var. Du Triplet | C4e3F6e6F5c5D3g6D7f4 | =
Brightwell | C4e3F6e6F5c5D6 | =
Brightwell Intérieure | C4e3F6e6F5c5D6c6 | =
Brightwell Orque | C4e3F6e6F5c5D6c6B5 | =
Orque Extérieure Retardée | C4e3F6e6F5c5D6c6B5c3 | =
Orque De Cambridge | C4e3F6e6F5c5D6c6B5d7E7 | =
Orque Diagonal | C4e3F6e6F5c5D6c6B5b6 | =
Var. De Lille | C4e3F6e6F5c5D6c6B5b6C3g5 | =
Var. Rossi | C4e3F6e6F5c5D6c6B5b6B4c3B3 | =
Orque À Plat | C4e3F6e6F5c5D6c6B5b4 | =
Brightwell Anglaise | C4e3F6e6F5c5D6c6D3 | =
Brightwell Leader | C4e3F6e6F5c5D6c6D3g5 | =
Var. Robin | C4e3F6e6F5c5D6c6D3g5F4 | =
Var. Nicolet | C4e3F6e6F5c5D6c6D3g5F3 | =
Brightwell Papillon | C4e3F6e6F5c5D6c6D3f3 | =
Lepidopterix Niger | C4e3F6e6F5c5D6c6D3f3B5b4 | =
Lepidopterix Albus | C4e3F6e6F5c5D6c6D3f3F4d7 | =
Brightwell Aile | C4e3F6e6F5c5D6c6D3c3 | =
Aile Var.. Op'masse | C4e3F6e6F5c5D6c6D3c3B5f4 | =
Aile Var.. De Concrete | C4e3F6e6F5c5D6c6D3c3B5b6 | =
Aile Var.. Feldborg | C4e3F6e6F5c5D6c6D3c3B5d7 | =
Brightwell Extérieure | C4e3F6e6F5c5D6c3 | =
Brightwell Var. D'attente | C4e3F6e6F5c5D6c3F3f4E2d2 | =
Brightwell D'attente Transverse | C4e3F6e6F5c5D6c3F3f4E2d2G3 | =
Brightwell D'attente Edge | C4e3F6e6F5c5D6c3F3f4E2d2F1 | =
Brightwell Sablier | C4e3F6e6F5c5D6c3F3f4E2f2 | =
Brightwell Parisienne | C4e3F6e6F5c5D6c3F3f4D3e2 | =
Opening Parallèle | C4c5 | =
Réfutation Classic | C4c5D6c3E6d7C6c7D3e7B4a3B5 | =
